timestamp,turbidity_in,turbidity_out,status,phase
1,2333.96,2163.29,online,default
16045,1681.98,1658.07,treating,coagulant dispensing
21045,1273.77,1380.96,treating,fast mixing
31096,1433.27,1547.84,slow mixing,slow mixing
41096,1367.75,1510.13,treated,filter pressing
46096,1354.49,1484.73,treated,treated
46140,1341.17,1407.22,treated,idle
49727,1433.27,1547.84,alert,emergency
49973,1459.11,1547.84,alert,emergency
50217,1446.22,1510.13,alert,emergency
50463,1407.22,1471.94,alert,emergency
50708,1380.96,1446.22,alert,emergency
50953,1380.96,1433.27,alert,emergency
51198,1367.75,1420.28,alert,emergency
51443,1341.17,1394.12,alert,emergency
51689,1341.17,1394.12,alert,emergency
51934,1327.79,1394.12,alert,emergency
52178,1314.37,1367.75,alert,emergency
52424,1300.89,1354.49,alert,emergency
52669,1314.37,1367.75,alert,emergency
52915,1300.89,1354.49,alert,emergency
53159,1287.36,1341.17,alert,emergency
53404,1287.36,1341.17,alert,emergency
53650,1300.89,1354.49,alert,emergency
53895,1287.36,1341.17,alert,emergency
54140,1287.36,1341.17,alert,emergency
54385,1300.89,1354.49,alert,emergency
54631,1300.89,1354.49,alert,emergency
54876,1287.36,1341.17,alert,emergency
55120,1287.36,1341.17,alert,emergency
55366,1287.36,1341.17,alert,emergency
55611,1273.77,1327.79,alert,emergency
55857,1273.77,1314.37,alert,emergency
56101,1273.77,1327.79,alert,emergency
56346,1260.13,1314.37,alert,emergency
56592,1260.13,1300.89,alert,emergency
56837,1260.13,1314.37,alert,emergency
57082,1273.77,1314.37,alert,emergency
57327,1260.13,1300.89,alert,emergency
57573,1246.44,1300.89,alert,emergency
57818,1260.13,1314.37,alert,emergency
58062,1260.13,1300.89,alert,emergency
58308,1246.44,1287.36,alert,emergency
58553,1260.13,1300.89,alert,emergency
58799,1260.13,1314.37,alert,emergency
59043,1246.44,1287.36,alert,emergency
59288,1232.69,1287.36,alert,emergency
59534,1246.44,1300.89,alert,emergency
59779,1246.44,1287.36,alert,emergency
60024,1232.69,1287.36,alert,emergency
60269,1246.44,1300.89,alert,emergency
60514,1246.44,1300.89,alert,emergency
60760,1232.69,1287.36,alert,emergency
61004,1232.69,1287.36,alert,emergency
61250,1246.44,1300.89,alert,emergency
61495,1246.44,1287.36,alert,emergency
61741,1232.69,1273.77,alert,emergency
61985,1246.44,1287.36,alert,emergency
62230,1246.44,1300.89,alert,emergency
62476,1232.69,1273.77,alert,emergency
62721,1232.69,1287.36,alert,emergency
62966,1246.44,1300.89,alert,emergency
63211,1232.69,1287.36,alert,emergency
63456,1218.89,1273.77,alert,emergency
63702,1232.69,1287.36,alert,emergency
63946,1246.44,1287.36,alert,emergency
64192,1232.69,1273.77,alert,emergency
64437,1232.69,1273.77,alert,emergency
64681,1232.69,1287.36,alert,emergency
64927,1232.69,1273.77,alert,emergency
65172,1218.89,1273.77,alert,emergency
65418,1232.69,1287.36,alert,emergency
65662,1246.44,1287.36,alert,emergency
65908,1232.69,1273.77,alert,emergency
66153,1232.69,1287.36,alert,emergency
66398,1246.44,1287.36,alert,emergency
66643,1232.69,1287.36,alert,emergency
66888,1232.69,1273.77,alert,emergency
67134,1246.44,1287.36,alert,emergency
67379,1246.44,1287.36,alert,emergency
67623,1218.89,1273.77,alert,emergency
67869,1218.89,1273.77,alert,emergency
68114,1232.69,1287.36,alert,emergency
68360,1232.69,1273.77,alert,emergency
68604,1218.89,1273.77,alert,emergency
68850,1232.69,1287.36,alert,emergency
69095,1232.69,1287.36,alert,emergency
69340,1218.89,1273.77,alert,emergency
69585,1218.89,1273.77,alert,emergency
69830,1232.69,1287.36,alert,emergency
70076,1232.69,1273.77,alert,emergency
70321,1218.89,1260.13,alert,emergency
70565,1232.69,1273.77,alert,emergency
70811,1232.69,1287.36,alert,emergency
71056,1218.89,1273.77,alert,emergency
71302,1218.89,1273.77,alert,emergency
71546,1232.69,1287.36,alert,emergency
71791,1218.89,1273.77,alert,emergency
72037,1218.89,1260.13,alert,emergency
72282,1232.69,1273.77,alert,emergency
72527,1232.69,1287.36,alert,emergency
72772,1218.89,1260.13,alert,emergency
73017,1218.89,1260.13,alert,emergency
73263,1232.69,1273.77,alert,emergency
